 SHGOLD, Au(T+D), Profit,-20306.512,-19.00072,-8777.18318,-20435.7169,-29212.90008, TradeCount = 122,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=40.000,ex_nMAPeriod=30.000,ex_dRenkoStep=0.000,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-19.00072, TradeCount = 122, TRADE_VIEW_MT5, USDCNH, Profit,-8777.18318, TradeCount = 122
 SHGOLD, Au(T+D), Profit,41302.612,-3636.35584,-17368.60859,16575.39229,-793.216302, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3636.35584, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-17368.60859, TradeCount = 14
 SHGOLD, Au(T+D), Profit,27277.112,-1588.26008,-15003.47477,16476.94346,1473.468686, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1588.26008, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-15003.47477, TradeCount = 19
 SHGOLD, Au(T+D), Profit,27427.3,-1613.19608,-15152.56951,16457.56666,1304.997146, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.200,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1613.19608, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-15152.56951, TradeCount = 19
 SHGOLD, Au(T+D), Profit,37505.468,-3111.7016,-16829.23582,16345.89712,-483.3387, TradeCount = 15,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.100,ex_dOpen_ma=0.200,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3111.7016, TradeCount = 15, TRADE_VIEW_MT5, USDCNH, Profit,-16829.23582, TradeCount = 15
 SHGOLD, Au(T+D), Profit,30906.148,-2153.0676,-16740.26618,16265.28832,-474.97786, TradeCount = 16,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.200,ex_dClose_abs=0.100,ex_dOpen_ma=0.150,ex_dClose_ma=0.250,ex_nCCPeriod=80.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-2153.0676, TradeCount = 16, TRADE_VIEW_MT5, USDCNH, Profit,-16740.26618, TradeCount = 16
 SHGOLD, Au(T+D), Profit,28635.104,-1823.86096,-14682.03838,16232.84947,1550.811092, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1823.86096, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-14682.03838, TradeCount = 14
 SHGOLD, Au(T+D), Profit,28795.04,-1859.38984,-14497.99238,16151.18909,1653.196708, TradeCount = 14,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.200,ex_dOpen_ma=0.250,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1859.38984, TradeCount = 14, TRADE_VIEW_MT5, USDCNH, Profit,-14497.99238, TradeCount = 14
 SHGOLD, Au(T+D), Profit,40226.696,-3543.71768,-16001.78402,16129.41578,127.631756, TradeCount = 16,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.100,ex_dOpen_ma=0.250,ex_dClose_ma=0.250,ex_nCCPeriod=100.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.150,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-3543.71768, TradeCount = 16, TRADE_VIEW_MT5, USDCNH, Profit,-16001.78402, TradeCount = 16
 SHGOLD, Au(T+D), Profit,23524.8,-1088.5972,-15242.96181,16122.33904,879.37723, TradeCount = 21,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=60.000,ex_nMAPeriod=70.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1088.5972, TradeCount = 21, TRADE_VIEW_MT5, USDCNH, Profit,-15242.96181, TradeCount = 21
 SHGOLD, Au(T+D), Profit,28349.812,-1798.60808,-15232.41309,16119.27706,886.863966, TradeCount = 19,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.100,ex_dClose_abs=0.200,ex_dOpen_ma=0.150,ex_dClose_ma=0.200,ex_nCCPeriod=60.000,ex_nMAPeriod=90.000,ex_dRenkoStep=0.200,ex_sProductType=ABC,ex_bPublishRates=true, TRADE_VIEW_MT5, XAUUSD, Profit,-1798.60808, TradeCount = 19, TRADE_VIEW_MT5, USDCNH, Profit,-15232.41309, TradeCount = 19
