 SHGOLD, Au(T+D), Profit,158068.11780, TradeCount = 756,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2560.72088, TradeCount = 756,, TRADE_VIEW_MT5, USDCNH, Profit,-73385.95165, TradeCount = 756,,
 SHGOLD, Au(T+D), Profit,184775.82640, TradeCount = 849,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1400.53680, TradeCount = 849,, TRADE_VIEW_MT5, USDCNH, Profit,-101549.24810, TradeCount = 849,,
 SHGOLD, Au(T+D), Profit,200066.47100, TradeCount = 868,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=150.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1039.84960, TradeCount = 868,, TRADE_VIEW_MT5, USDCNH, Profit,-104588.43015, TradeCount = 868,,
 SHGOLD, Au(T+D), Profit,201514.35730, TradeCount = 883,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=200.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1224.39288, TradeCount = 883,, TRADE_VIEW_MT5, USDCNH, Profit,-104250.62570, TradeCount = 883,,
 SHGOLD, Au(T+D), Profit,149758.36790, TradeCount = 636,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3731.16800, TradeCount = 636,, TRADE_VIEW_MT5, USDCNH, Profit,-67826.07770, TradeCount = 636,,
 SHGOLD, Au(T+D), Profit,171394.99560, TradeCount = 715,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2250.12128, TradeCount = 715,, TRADE_VIEW_MT5, USDCNH, Profit,-82328.30220, TradeCount = 715,,
 SHGOLD, Au(T+D), Profit,153777.62060, TradeCount = 724,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=150.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,5663.91312, TradeCount = 724,, TRADE_VIEW_MT5, USDCNH, Profit,-92997.14430, TradeCount = 724,,
 SHGOLD, Au(T+D), Profit,160383.63430, TradeCount = 725,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=100.000,ex_nMAPeriod=200.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3343.54936, TradeCount = 725,, TRADE_VIEW_MT5, USDCNH, Profit,-88416.48385, TradeCount = 725,,
 SHGOLD, Au(T+D), Profit,157785.86060, TradeCount = 522,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=150.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2188.45528, TradeCount = 522,, TRADE_VIEW_MT5, USDCNH, Profit,-45746.84590, TradeCount = 522,,
 SHGOLD, Au(T+D), Profit,157578.77580, TradeCount = 600,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=150.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1139.24320, TradeCount = 600,, TRADE_VIEW_MT5, USDCNH, Profit,-52949.45690, TradeCount = 600,,
 SHGOLD, Au(T+D), Profit,155023.02740, TradeCount = 627,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=150.000,ex_nMAPeriod=150.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,662.73352, TradeCount = 627,, TRADE_VIEW_MT5, USDCNH, Profit,-61118.34735, TradeCount = 627,,
 SHGOLD, Au(T+D), Profit,171081.20410, TradeCount = 632,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=150.000,ex_nMAPeriod=200.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1258.29832, TradeCount = 632,, TRADE_VIEW_MT5, USDCNH, Profit,-61880.83530, TradeCount = 632,,
 SHGOLD, Au(T+D), Profit,139693.66540, TradeCount = 481,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=200.000,ex_nMAPeriod=50.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,734.40880, TradeCount = 481,, TRADE_VIEW_MT5, USDCNH, Profit,-41477.81820, TradeCount = 481,,
 SHGOLD, Au(T+D), Profit,138081.56940, TradeCount = 554,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=200.000,ex_nMAPeriod=100.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2273.13800, TradeCount = 554,, TRADE_VIEW_MT5, USDCNH, Profit,-43863.24020, TradeCount = 554,,
 SHGOLD, Au(T+D), Profit,144398.66940, TradeCount = 572,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=200.000,ex_nMAPeriod=150.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1928.69736, TradeCount = 572,, TRADE_VIEW_MT5, USDCNH, Profit,-51575.85320, TradeCount = 572,,
 SHGOLD, Au(T+D), Profit,147493.15370, TradeCount = 577,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=200.000,ex_nMAPeriod=200.000,ex_dRenkoStep=0.20,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2376.01960, TradeCount = 577,, TRADE_VIEW_MT5, USDCNH, Profit,-58373.26745, TradeCount = 577,,
