 SHGOLD, Au(T+D), Profit,13321.98800, TradeCount = 43,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.000,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1819.76888, TradeCount = 43,, TRADE_VIEW_MT5, USDCNH, Profit,-6414.95726, TradeCount = 43,,
 SHGOLD, Au(T+D), Profit,13971.82800, TradeCount = 49,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.005,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1364.15248, TradeCount = 49,, TRADE_VIEW_MT5, USDCNH, Profit,-9401.60512, TradeCount = 49,,
 SHGOLD, Au(T+D), Profit,19857.89600, TradeCount = 41,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2103.15968, TradeCount = 41,, TRADE_VIEW_MT5, USDCNH, Profit,-12234.36378, TradeCount = 41,,
 SHGOLD, Au(T+D), Profit,17844.74800, TradeCount = 50,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.015,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1582.13792, TradeCount = 50,, TRADE_VIEW_MT5, USDCNH, Profit,-12163.97401, TradeCount = 50,,
 SHGOLD, Au(T+D), Profit,22462.16400, TradeCount = 34,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2102.68568, TradeCount = 34,, TRADE_VIEW_MT5, USDCNH, Profit,-12625.53364, TradeCount = 34,,
 SHGOLD, Au(T+D), Profit,16585.88800, TradeCount = 26,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.025,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1609.72264, TradeCount = 26,, TRADE_VIEW_MT5, USDCNH, Profit,-7661.81739, TradeCount = 26,,
 SHGOLD, Au(T+D), Profit,11796.44400, TradeCount = 35,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2182.66896, TradeCount = 35,, TRADE_VIEW_MT5, USDCNH, Profit,-233.22736, TradeCount = 35,,
 SHGOLD, Au(T+D), Profit,22331.51200, TradeCount = 26,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.035,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2397.14872, TradeCount = 26,, TRADE_VIEW_MT5, USDCNH, Profit,-9692.78892, TradeCount = 26,,
 SHGOLD, Au(T+D), Profit,15226.91600, TradeCount = 28,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1441.85600, TradeCount = 28,, TRADE_VIEW_MT5, USDCNH, Profit,-8028.95282, TradeCount = 28,,
 SHGOLD, Au(T+D), Profit,1951.98400, TradeCount = 23,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.045,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-506.66088, TradeCount = 23,, TRADE_VIEW_MT5, USDCNH, Profit,-105.93812, TradeCount = 23,,
 SHGOLD, Au(T+D), Profit,10597.65200, TradeCount = 18,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.150,ex_dClose_abs=0.150,ex_dOpen_ma=0.150,ex_dClose_ma=0.150,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.100,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-544.11456, TradeCount = 18,, TRADE_VIEW_MT5, USDCNH, Profit,-11120.70700, TradeCount = 18,,
