 SHGOLD, Au(T+D), Profit,107342.13640, TradeCount = 856,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4966.93496, TradeCount = 856,, TRADE_VIEW_MT5, USDCNH, Profit,-99716.02505, TradeCount = 856,,
 SHGOLD, Au(T+D), Profit,133795.05840, TradeCount = 719,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1612.84336, TradeCount = 719,, TRADE_VIEW_MT5, USDCNH, Profit,-101966.10010, TradeCount = 719,,
 SHGOLD, Au(T+D), Profit,78036.84160, TradeCount = 609,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1657.59560, TradeCount = 609,, TRADE_VIEW_MT5, USDCNH, Profit,-81878.37965, TradeCount = 609,,
 SHGOLD, Au(T+D), Profit,80704.51800, TradeCount = 526,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,7111.93544, TradeCount = 526,, TRADE_VIEW_MT5, USDCNH, Profit,-116949.74105, TradeCount = 526,,
 SHGOLD, Au(T+D), Profit,88141.85680, TradeCount = 466,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1056.69176, TradeCount = 466,, TRADE_VIEW_MT5, USDCNH, Profit,-77497.26260, TradeCount = 466,,
 SHGOLD, Au(T+D), Profit,136625.56760, TradeCount = 767,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,1525.83080, TradeCount = 767,, TRADE_VIEW_MT5, USDCNH, Profit,-71034.38795, TradeCount = 767,,
 SHGOLD, Au(T+D), Profit,156577.14200, TradeCount = 686,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-2997.31104, TradeCount = 686,, TRADE_VIEW_MT5, USDCNH, Profit,-71637.97810, TradeCount = 686,,
 SHGOLD, Au(T+D), Profit,86018.31280, TradeCount = 589,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,17.57008, TradeCount = 589,, TRADE_VIEW_MT5, USDCNH, Profit,-27633.41440, TradeCount = 589,,
 SHGOLD, Au(T+D), Profit,99668.33280, TradeCount = 509,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,316.49616, TradeCount = 509,, TRADE_VIEW_MT5, USDCNH, Profit,-64640.39945, TradeCount = 509,,
 SHGOLD, Au(T+D), Profit,71969.76040, TradeCount = 391,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=50.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4049.53992, TradeCount = 391,, TRADE_VIEW_MT5, USDCNH, Profit,-79779.77915, TradeCount = 391,,
 SHGOLD, Au(T+D), Profit,148602.50480, TradeCount = 973,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-583.17424, TradeCount = 973,, TRADE_VIEW_MT5, USDCNH, Profit,-122856.14795, TradeCount = 973,,
 SHGOLD, Au(T+D), Profit,147454.85040, TradeCount = 783,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-4401.67984, TradeCount = 783,, TRADE_VIEW_MT5, USDCNH, Profit,-112307.49350, TradeCount = 783,,
 SHGOLD, Au(T+D), Profit,88007.61800, TradeCount = 669,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2316.13800, TradeCount = 669,, TRADE_VIEW_MT5, USDCNH, Profit,-91071.49115, TradeCount = 669,,
 SHGOLD, Au(T+D), Profit,107753.32120, TradeCount = 542,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3587.84928, TradeCount = 542,, TRADE_VIEW_MT5, USDCNH, Profit,-131445.61295, TradeCount = 542,,
 SHGOLD, Au(T+D), Profit,111934.36080, TradeCount = 491,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.150,ex_dRK_USDCNY=0.050,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1931.70864, TradeCount = 491,, TRADE_VIEW_MT5, USDCNH, Profit,-78396.82480, TradeCount = 491,,
 SHGOLD, Au(T+D), Profit,163341.38880, TradeCount = 873,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.010,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1523.76936, TradeCount = 873,, TRADE_VIEW_MT5, USDCNH, Profit,-87221.76150, TradeCount = 873,,
 SHGOLD, Au(T+D), Profit,174982.36200, TradeCount = 779,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.020,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-4487.12320, TradeCount = 779,, TRADE_VIEW_MT5, USDCNH, Profit,-80711.06525, TradeCount = 779,,
 SHGOLD, Au(T+D), Profit,101147.78080, TradeCount = 644,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.030,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-1424.24712, TradeCount = 644,, TRADE_VIEW_MT5, USDCNH, Profit,-36568.01625, TradeCount = 644,,
 SHGOLD, Au(T+D), Profit,135949.88960, TradeCount = 533,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=50.000,ex_nMAPeriod=100.000,ex_dRK_DIFF=0.200,ex_dRK_USDCNY=0.040,ex_dP_ABS=500,ex_dP_MIN=100,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-5423.43440, TradeCount = 533,, TRADE_VIEW_MT5, USDCNH, Profit,-68158.66920, TradeCount = 533,,
