 SHGOLD, Au(T+D), Profit,113949.93040, TradeCount = 1388,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=200.000,ex_dP_MIN=0.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,-506.40472, TradeCount = 1388,, TRADE_VIEW_MT5, USDCNH, Profit,-140894.90420, TradeCount = 1388,,
 SHGOLD, Au(T+D), Profit,106369.37340, TradeCount = 1368,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=200.000,ex_dP_MIN=50.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,2256.83512, TradeCount = 1368,, TRADE_VIEW_MT5, USDCNH, Profit,-147766.64755, TradeCount = 1368,,
 SHGOLD, Au(T+D), Profit,98984.16540, TradeCount = 1352,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=200.000,ex_dP_MIN=100.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4028.78224, TradeCount = 1352,, TRADE_VIEW_MT5, USDCNH, Profit,-147576.10750, TradeCount = 1352,,
 SHGOLD, Au(T+D), Profit,100426.29940, TradeCount = 1337,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=200.000,ex_dP_MIN=150.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4586.54352, TradeCount = 1337,, TRADE_VIEW_MT5, USDCNH, Profit,-149617.26895, TradeCount = 1337,,
 SHGOLD, Au(T+D), Profit,102140.38140, TradeCount = 1319,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=200.000,ex_dP_MIN=200.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,4019.72016, TradeCount = 1319,, TRADE_VIEW_MT5, USDCNH, Profit,-147333.81860, TradeCount = 1319,,
 SHGOLD, Au(T+D), Profit,96605.86910, TradeCount = 1265,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=300.000,ex_dP_MIN=0.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3709.99760, TradeCount = 1265,, TRADE_VIEW_MT5, USDCNH, Profit,-124513.49920, TradeCount = 1265,,
 SHGOLD, Au(T+D), Profit,93201.02910, TradeCount = 1242,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=300.000,ex_dP_MIN=50.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,6108.90824, TradeCount = 1242,, TRADE_VIEW_MT5, USDCNH, Profit,-132627.99695, TradeCount = 1242,,
 SHGOLD, Au(T+D), Profit,97746.57310, TradeCount = 1221,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=300.000,ex_dP_MIN=100.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,5555.34672, TradeCount = 1221,, TRADE_VIEW_MT5, USDCNH, Profit,-127064.43265, TradeCount = 1221,,
 SHGOLD, Au(T+D), Profit,102792.30810, TradeCount = 1203,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=300.000,ex_dP_MIN=150.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,6189.52568, TradeCount = 1203,, TRADE_VIEW_MT5, USDCNH, Profit,-131511.09395, TradeCount = 1203,,
 SHGOLD, Au(T+D), Profit,105569.49610, TradeCount = 1183,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=300.000,ex_dP_MIN=200.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,5426.26600, TradeCount = 1183,, TRADE_VIEW_MT5, USDCNH, Profit,-129100.09020, TradeCount = 1183,,
 SHGOLD, Au(T+D), Profit,110830.83510, TradeCount = 1205,ex_dLots=1,ex_nIsNewOrder=1000000,ex_bIsNewSession=true,ex_dOpen_abs=0.2,ex_dClose_abs=0.2,ex_dOpen_ma=0.2,ex_dClose_ma=0.2,ex_nCCPeriod=60,ex_nMAPeriod=90,ex_dRenkoStep=0.20,ex_dP_ABS=400.000,ex_dP_MIN=0.000,ex_sProductType=ABC,ex_bPublishRates=true,, TRADE_VIEW_MT5, XAUUSD, Profit,3154.44216, TradeCount = 1205,, TRADE_VIEW_MT5, USDCNH, Profit,-122498.91310, TradeCount = 1205,,
